zipCode,Female,Male
02645,20652,18000
02646,3600,3104
02647,272,244
02648,15024,14180
02649,29980,26044
02650,1960,1432
02651,28,36
02652,2356,2344
02653,12484,11160
02655,7508,6564
02657,5360,6408
02659,2300,2132
02660,13516,11528
02663,352,340
02664,19964,17520
02666,1700,1612
02667,5520,4800
02668,6784,6328
02669,580,560
02670,2900,2328
02671,2212,1880
02672,372,348
02673,17724,15884
02675,14380,11928
02702,8292,8208
02703,89188,85184
02713,84,124
02715,6204,6288
02717,9380,9600
02718,13568,13052
02719,32948,30544
02720,63368,57780
02721,55232,49928
02723,31176,27892
02724,35656,31976
02725,5672,4852
02726,32504,29632
02738,10392,9236
02739,12408,11772
02740,90744,81604
02743,20976,20252
02744,24220,23380
02745,51532,46772
02746,31128,30240
02747,44380,47328
02748,23984,21784
02760,54824,52132
02762,16872,16184
02763,4052,3840
02764,7980,7972
02766,39360,36764
02767,27816,26448
02769,23212,23220
02770,10088,10284
02771,28220,26612
02777,32332,31028
02779,12996,12648
02780,102544,93600
02790,32180,30688
02791,516,468
02802,1656,1488
02804,5216,5212
02806,34024,31216
02807,2052,2152
02808,4876,4728
02809,47332,44420
02812,2972,3016
02813,15660,15664
02814,14800,15184
02815,592,520
02816,67300,63144
02817,12324,12216
02818,37900,34428
02822,12172,12272
02825,10692,10816
02826,1564,1600
02827,4384,4304
02828,16660,14156
02830,11960,11944
02831,7076,6984
02832,9452,8980
02833,1568,1568
02835,10876,10744
02836,268,276
02837,7128,6840
02838,7524,6076
02839,3800,3808
02840,49520,43820
02841,976,4592
02842,33464,30916
02852,46632,43572
02857,17056,16592
02858,1188,1092
02859,13612,13340
02860,94488,86308
02861,54196,50516
02863,38224,39316
02864,69028,64556
02865,35016,32788
02871,34972,33712
02872,444,428
02873,452,488
02874,11620,11820
02875,628,600
02876,892,828
02878,32536,30584
02879,42420,39064
02881,17008,14356
02882,28992,27744
02885,22340,20168
02886,61492,55584
02888,41900,37748
02889,58028,54840
02891,44268,40524
02892,10092,9860
02893,61180,57340
02894,1444,1444
02895,85004,79740
02896,24292,21856
02898,3368,3416
02903,22876,20244
02904,62852,54584
02905,53472,47420
02906,59608,53940
02907,56920,52860
02908,78200,71668
02909,86700,87460
02910,44108,39892
02911,33736,28560
02912,2708,2772
02914,46944,40908
02915,35796,31792
02916,17256,15300
02917,27872,27176
02919,60592,54568
02920,73260,76928
02921,25196,24248
03031,22840,22148
03032,9796,10016
03033,9792,10156
03034,7888,7992
03036,9524,9604
03037,8560,8316
03038,67012,66064
03042,12880,12484
03043,3128,3164
03044,8600,8452
03045,28380,25860
03046,5512,5520
03047,3424,3644
03048,6808,6896
03049,15512,15240
03051,49436,48484
03052,16500,16532
03053,48328,47500
03054,51192,50716
03055,30836,29508
03057,5028,4972
03060,60188,57240
03062,53980,52796
03063,32404,32460
03064,28760,28148
03070,10468,10548
03071,9992,10444
03076,25872,25716
03077,20256,20364
03079,58092,57012
03082,3140,3320
03084,2740,2724
03086,7524,7388
03087,27576,26792
03101,5132,7064
03102,64228,60156
03103,72588,73316
03104,67164,64028
03106,27620,25876
03109,20736,20520
03110,43344,41468
03215,492,496
03216,4240,4396
03217,4320,3984
03218,1900,1940
03220,15020,14700
03221,4220,4144
03222,10784,10628
03223,6848,6860
03224,4684,4588
03225,7276,7364
03226,2288,2180
03227,1900,1800
03229,11428,10928
03230,2420,2504
03231,388,420
03233,244,216
03234,9320,8968
03235,17872,16376
03237,4476,4540
03238,156,144
03240,2568,2792
03241,1696,1808
03242,9576,9768
03243,2148,2192
03244,16096,16272
03245,4036,4072
03246,33432,30420
03249,14616,13836
03251,3240,3408
03253,12860,12016
03254,8160,8036
03255,4088,4272
03256,4232,4444
03257,10100,7720
03258,4912,5156
03259,736,736
03260,1580,1656
03261,8396,8588
03262,2456,2468
03263,8288,8168
03264,14316,15556
03266,4168,4484
03268,2512,2576
03269,6056,5808
03273,600,648
03275,23328,22420
03276,16540,16756
03278,5972,5836
03279,1600,1716
03280,2144,2348
03281,17252,17888
03282,1788,1820
03284,2000,1996
03285,4932,4984
03287,2632,2548
03290,9348,9576
03291,68,88
03293,264,308
03301,65952,66080
03303,31708,30388
03304,15436,14640
03307,10760,10576
03431,53520,47600
03440,5444,5324
03441,792,788
03442,2868,3096
03443,1444,1524
03444,3208,3152
03445,1372,1392
03446,12884,12256
03447,4880,4808
03448,1600,1644
03449,3480,3136
03450,2056,1788
03451,8144,8164
03452,11280,10548
03455,4280,4064
03456,1408,1560
03457,1668,1740
03458,14136,12436
03461,11832,12224
03462,3080,3168
03464,2204,2232
03465,4324,4300
03466,2660,2668
03467,3668,3700
03470,10184,9948
03561,12460,11296
03570,18992,21212
03574,4988,5116
03575,200,296
03576,6404,6548
03579,848,996
03580,2844,2632
03581,6432,6488
03582,5080,5228
03583,2212,2216
03584,7832,7264
03585,5052,5024
03586,1100,1088
03588,3212,3352
03590,2108,2100
03592,2220,2360
03593,632,620
03595,1280,1276
03597,1072,1012
03598,6676,6464
03601,916,992
03602,5352,5264
03603,10924,10724
03604,156,120
03605,2268,2372
03607,616,672
03608,5728,5516
03609,1768,1648
03740,1716,1928
03741,8432,8400
03743,28788,27624
03745,2840,2856
03746,436,428
03748,9780,9268
03750,1772,1708
03751,1252,1080
03752,1604,1636
03753,6104,5780
03754,180,164
03755,21508,20644
03765,1044,968
03766,18740,17092
03768,3512,3352
03770,1040,1056
03771,1548,1468
03773,15996,15368
03774,3828,4036
03777,2540,2408
03779,1600,1560
03780,880,760
03781,3688,3672
03782,5856,5924
03784,8680,7664
03785,4892,4708
03801,44324,41804
03809,7472,7392
03810,2992,3160
03811,13880,13132
03812,1612,1684
03813,6468,6532
03814,4624,4692
03816,2760,2712
03817,1116,1180
03818,7760,7468
03819,8632,8876
03820,61292,58864
03823,3324,3552
03824,31528,27024
03825,16944,17104
03826,4996,4884
03827,6452,6148
03830,3196,3244
03832,760,820
03833,43380,40440
03835,13664,13480
03836,2956,3000
03837,3104,2972
03838,2108,2016
03839,7680,7260
03840,7300,6964
03841,12748,12588
03842,30756,30624
03844,4456,4496
03845,1972,1992
03846,1544,1652
03847,544,632
03848,12228,11852
03849,3160,3180
03850,748,740
03851,8132,8028
03852,1208,1024
03853,1164,1244
03854,2100,1772
03855,5160,5392
03856,3304,3416
03857,18168,17856
03858,9356,9056
03860,8332,7892
03861,8560,8760
03862,8764,8348
03864,3436,3348
03865,15440,14996
03867,43000,40032
03868,10952,10340
03869,5012,4864
03870,10572,10076
03871,288,256
03872,7684,7552
03873,11328,11516
03874,17664,17440
03875,1644,1688
03878,24732,22564
03882,2948,2912
03883,356,356
03884,7864,7992
03885,14888,14156
03886,4320,4128
03887,4152,4464
03890,616,692
03894,13176,12080
03901,14664,14320
03902,4412,4432
03903,12720,12124
03904,15904,14908
03905,3724,3396
03906,9456,9132
03907,1784,1792
03908,14656,14276
03909,20472,18480
03910,676,636
03911,536,464
04001,4764,4952
04002,14556,14848
04003,668,652
04005,48264,44320
04006,216,168
04008,5424,5468
04009,10540,10064
04010,3172,3216
04011,42900,38212
04015,7692,7540
04017,704,660
04019,136,148
04020,2768,2844
04021,11992,11288
04022,2204,2388
04024,1272,1160
04027,11936,12188
04029,3368,3532
04030,4272,4560
04032,16592,14924
04037,7856,7480
04038,33848,31676
04039,14924,14764
04040,6116,6328
04041,3144,3308
04042,8488,8636
04043,23132,20108
04046,15468,14516
04047,3764,3804
04048,5872,5912
04049,7320,7316
04050,464,456
04051,2360,2252
04055,7408,7764
04056,536,492
04057,40,184
04061,6716,6760
04062,33920,34160
04063,988,660
04064,16996,15852
04066,1104,1052
04068,2972,3048
04069,3040,2820
04071,9824,9380
04072,38224,35704
04073,33540,31216
04074,38696,36344
04076,5328,5404
04079,8004,7480
04083,9664,8436
04084,16492,15860
04085,3572,3572
04086,18468,16680
04087,4156,4308
04088,3052,3012
04090,19836,18520
04091,1828,1816
04092,36644,33416
04093,15936,16200
04095,2476,2620
04096,17672,15724
04097,7368,6928
04101,33088,35820
04102,35016,34324
04103,65336,57088
04105,23264,21368
04106,52732,47968
04107,18576,17344
04108,1796,1652
04109,180,192
04110,3060,2504
04210,47660,44520
04216,1276,1284
04217,6696,6552
04219,2924,2964
04220,6084,6224
04221,2244,2148
04222,7600,7792
04224,6168,5992
04226,360,400
04227,184,132
04228,12,12
04231,452,492
04234,332,340
04236,8564,8836
04237,460,492
04238,2684,2980
04239,9884,9520
04240,76008,70360
04250,8580,8332
04252,9828,9368
04253,4132,4248
04254,6468,6256
04255,1604,1604
04256,6256,6000
04257,5432,5292
04258,5212,5256
04259,6692,6364
04260,10876,11292
04261,832,944
04263,4532,4772
04265,1884,1788
04267,84,64
04268,10352,9740
04270,11640,11880
04271,148,120
04274,10672,10700
04275,952,1104
04276,12052,11312
04280,12924,12972
04281,10516,9948
04282,11496,11440
04284,2268,2284
04285,840,892
04286,92,96
04287,6352,6544
04289,3672,3588
04290,3112,3052
04292,1864,1928
04294,8096,7884
04330,53004,51340
04342,3256,3432
04343,48,52
04344,6176,5628
04345,23604,22980
04346,3788,3300
04347,5064,4356
04348,5928,5976
04349,2360,2272
04350,7268,7040
04351,5380,4904
04352,3296,3232
04353,4572,4628
04354,3088,3052
04355,5232,5168
04357,6936,6660
04358,8580,8524
04359,784,768
04360,1128,1112
04363,5204,5096
04364,12428,11672
04401,92668,86928
04406,1664,1612
04408,328,376
04410,2504,2656
04411,3052,2916
04412,20048,17880
04413,396,388
04414,2332,2660
04415,548,556
04416,11268,10604
04417,732,748
04418,3524,3560
04419,5560,5616
04421,1828,3636
04422,2468,3168
04424,1596,1696
04426,9716,9164
04427,5860,5572
04428,6240,6344
04429,9432,9436
04430,3516,3396
04431,172,152
